userName,proxyWallet,rank,pnl,roi_percentage,total_deals,win_rate,short_hold_percentage,recent_pnl,active_duration_days
Macks22,0x1057e7d3ddafc60a4aeb10a2bc5b543792449ea5,140,838616.48,19.57,68,100.0,7.35,285688.89,61.85
primm,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,32,2625262.16,8.08,107,100.0,0.0,169542.34,125.8
beachboy4,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,20,3830450.38,1.9,21,95.24,4.76,6206958.07,67.15
